,,"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",
,,"Randomname","Lamb","Silent Bob","YTS | Jonch","LDog","Slidbrush","BowserAttack","YTS | Stag","Villain","Silver","Purplespice","Nep","YTS | MJS","MrtheTaste","majormoistme","Absolutelynothing","RetroLad64","YTS | AX","YTS | MobMarMini",
"1","Randomname",--,32 -- 23,20 -- 5,5 -- 6,13 -- 7,6 -- 1,11 -- 3,13 -- 4,4 -- 1,3 -- 0,2 -- 0,0 -- 0,7 -- 1,0 -- 0,4 -- 1,4 -- 0,0 -- 0,0 -- 0,6 -- 0,
"2","Lamb",23 -- 32,--,28 -- 19,21 -- 6,11 -- 5,10 -- 6,13 -- 5,8 -- 5,14 -- 6,7 -- 0,7 -- 1,3 -- 0,12 -- 0,13 -- 3,2 -- 0,0 -- 0,0 -- 0,2 -- 0,3 -- 0,
"3","Silent Bob",5 -- 20,19 -- 28,--,21 -- 2,11 -- 5,2 -- 7,9 -- 1,25 -- 6,4 -- 0,14 -- 2,11 -- 5,7 -- 0,8 -- 0,3 -- 0,0 -- 0,2 -- 0,2 -- 0,0 -- 0,9 -- 0,
"4","YTS | Jonch",6 -- 5,6 -- 21,2 -- 21,--,9 -- 5,2 -- 6,21 -- 10,7 -- 7,5 -- 2,5 -- 1,8 -- 3,4 -- 0,10 -- 4,7 -- 3,5 -- 0,2 -- 0,6 -- 0,5 -- 0,7 -- 0,
"5","LDog",7 -- 13,5 -- 11,5 -- 11,5 -- 9,--,2 -- 7,11 -- 4,10 -- 2,4 -- 1,0 -- 0,3 -- 0,5 -- 0,6 -- 1,7 -- 2,2 -- 0,2 -- 0,4 -- 0,0 -- 0,8 -- 0,
"6","Slidbrush",1 -- 6,6 -- 10,7 -- 2,6 -- 2,7 -- 2,--,0 -- 0,0 -- 0,7 -- 3,0 -- 0,2 -- 0,7 -- 1,1 -- 0,2 -- 0,2 -- 1,0 -- 0,0 -- 0,2 -- 0,0 -- 0,
"7","BowserAttack",3 -- 11,5 -- 13,1 -- 9,10 -- 21,4 -- 11,0 -- 0,--,2 -- 3,7 -- 7,4 -- 1,2 -- 0,4 -- 0,4 -- 1,6 -- 2,4 -- 0,4 -- 0,4 -- 1,5 -- 0,5 -- 0,
"8","YTS | Stag",4 -- 13,5 -- 8,6 -- 25,7 -- 7,2 -- 10,0 -- 0,3 -- 2,--,6 -- 8,4 -- 7,8 -- 4,9 -- 7,10 -- 2,16 -- 4,4 -- 1,4 -- 1,11 -- 0,8 -- 0,2 -- 2,
"9","Villain",1 -- 4,6 -- 14,0 -- 4,2 -- 5,1 -- 4,3 -- 7,7 -- 7,8 -- 6,--,6 -- 4,2 -- 2,6 -- 0,6 -- 0,2 -- 2,2 -- 0,2 -- 0,2 -- 0,3 -- 0,8 -- 0,
"10","Silver",0 -- 3,0 -- 7,2 -- 14,1 -- 5,0 -- 0,0 -- 0,1 -- 4,7 -- 4,4 -- 6,--,2 -- 1,6 -- 5,7 -- 1,0 -- 0,3 -- 3,0 -- 0,2 -- 0,0 -- 0,5 -- 0,
"11","Purplespice",0 -- 2,1 -- 7,5 -- 11,3 -- 8,0 -- 3,0 -- 2,0 -- 2,4 -- 8,2 -- 2,1 -- 2,--,0 -- 3,10 -- 4,2 -- 3,4 -- 0,0 -- 0,0 -- 0,4 -- 0,10 -- -1,
"12","Nep",0 -- 0,0 -- 3,0 -- 7,0 -- 4,0 -- 5,1 -- 7,0 -- 4,7 -- 9,0 -- 6,5 -- 6,3 -- 0,--,0 -- 0,2 -- 0,0 -- 0,0 -- 0,6 -- 0,2 -- 0,6 -- 0,
"13","YTS | MJS",1 -- 7,0 -- 12,0 -- 8,4 -- 10,1 -- 6,0 -- 1,1 -- 4,2 -- 10,0 -- 6,1 -- 7,4 -- 10,0 -- 0,--,7 -- 0,4 -- 0,5 -- 2,6 -- 0,0 -- 0,14 -- 1,
"14","MrtheTaste",0 -- 0,3 -- 13,0 -- 3,3 -- 7,2 -- 7,0 -- 2,2 -- 6,4 -- 16,2 -- 2,0 -- 0,3 -- 2,0 -- 2,0 -- 7,--,2 -- 2,2 -- 0,6 -- 1,2 -- 0,9 -- 0,
"15","majormoistme",1 -- 4,0 -- 2,0 -- 0,0 -- 5,0 -- 2,1 -- 2,0 -- 4,1 -- 4,0 -- 2,3 -- 3,0 -- 4,0 -- 0,0 -- 4,2 -- 2,--,2 -- 1,0 -- 0,4 -- 2,6 -- 0,
"16","Absolutelynothing",0 -- 4,0 -- 0,0 -- 2,0 -- 2,0 -- 2,0 -- 0,0 -- 4,1 -- 4,0 -- 2,0 -- 0,0 -- 0,0 -- 0,2 -- 5,0 -- 2,1 -- 2,--,2 -- 0,2 -- 1,0 -- 0,
"17","RetroLad64",0 -- 0,0 -- 0,0 -- 2,0 -- 6,0 -- 4,0 -- 0,1 -- 4,0 -- 11,0 -- 2,0 -- 2,0 -- 0,0 -- 6,0 -- 6,1 -- 6,0 -- 0,0 -- 2,--,8 -- 1,4 -- 0,
"18","YTS | AX",0 -- 0,0 -- 2,0 -- 0,0 -- 5,0 -- 0,0 -- 2,0 -- 5,0 -- 8,0 -- 3,0 -- 0,0 -- 4,0 -- 2,0 -- 0,0 -- 2,2 -- 4,1 -- 2,1 -- 8,--,4 -- 0,
"19","YTS | MobMarMini",0 -- 6,0 -- 3,0 -- 9,0 -- 7,0 -- 8,0 -- 0,0 -- 5,2 -- 2,0 -- 8,0 -- 5,-1 -- 10,0 -- 6,1 -- 14,0 -- 9,0 -- 6,0 -- 0,0 -- 4,0 -- 4,--,
