,,"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",
,,"Randomname","Silent Bob","Lamb","YTS | Jonch","LDog","BowserAttack","Villain","YTS | Stag","Purplespice","Silver","Nep","MrtheTaste","YTS | MJS","majormoistme","Absolutelynothing","YTS | AX","RetroLad64","YTS | MobMarMini",
"1","Randomname",--,8 -- 0,8 -- 5,3 -- 5,5 -- 2,8 -- 3,2 -- 0,5 -- 2,0 -- 0,0 -- 0,0 -- 0,0 -- 0,2 -- 0,4 -- 1,4 -- 0,0 -- 0,0 -- 0,2 -- 0,
"2","Silent Bob",0 -- 8,--,1 -- 3,7 -- 2,3 -- 2,3 -- 0,0 -- 0,7 -- 3,7 -- 1,6 -- 0,2 -- 0,2 -- 0,4 -- 0,0 -- 0,2 -- 0,0 -- 0,0 -- 0,0 -- 0,
"3","Lamb",5 -- 8,3 -- 1,--,10 -- 4,4 -- 2,6 -- 4,6 -- 4,1 -- 2,4 -- 1,4 -- 0,0 -- 0,9 -- 1,2 -- 0,0 -- 0,0 -- 0,2 -- 0,0 -- 0,0 -- 0,
"4","YTS | Jonch",5 -- 3,2 -- 7,4 -- 10,--,2 -- 0,3 -- 0,5 -- 0,2 -- 0,4 -- 0,4 -- 1,2 -- 0,5 -- 3,2 -- 0,0 -- 0,2 -- 0,4 -- 0,2 -- 0,0 -- 0,
"5","LDog",2 -- 5,2 -- 3,2 -- 4,0 -- 2,--,2 -- 3,3 -- 1,4 -- 0,0 -- 0,0 -- 0,4 -- 0,2 -- 1,4 -- 1,2 -- 0,2 -- 0,0 -- 0,4 -- 0,4 -- 0,
"6","BowserAttack",3 -- 8,0 -- 3,4 -- 6,0 -- 3,3 -- 2,--,4 -- 4,0 -- 3,0 -- 0,4 -- 1,4 -- 0,4 -- 0,2 -- 1,4 -- 0,4 -- 0,2 -- 0,0 -- 0,0 -- 0,
"7","Villain",0 -- 2,0 -- 0,4 -- 6,0 -- 5,1 -- 3,4 -- 4,--,6 -- 5,2 -- 2,4 -- 2,2 -- 0,0 -- 0,4 -- 0,2 -- 0,2 -- 0,2 -- 0,2 -- 0,4 -- 0,
"8","YTS | Stag",2 -- 5,3 -- 7,2 -- 1,0 -- 2,0 -- 4,3 -- 0,5 -- 6,--,2 -- 0,0 -- 0,2 -- 0,4 -- 0,0 -- 0,2 -- 1,4 -- 1,2 -- 0,4 -- 0,0 -- 0,
"9","Purplespice",0 -- 0,1 -- 7,1 -- 4,0 -- 4,0 -- 0,0 -- 0,2 -- 2,0 -- 2,--,1 -- 2,0 -- 2,2 -- 3,2 -- 0,4 -- 0,0 -- 0,2 -- 0,0 -- 0,5 -- -1,
"10","Silver",0 -- 0,0 -- 6,0 -- 4,1 -- 4,0 -- 0,1 -- 4,2 -- 4,0 -- 0,2 -- 1,--,5 -- 5,0 -- 0,2 -- 1,3 -- 3,0 -- 0,0 -- 0,2 -- 0,2 -- 0,
"11","Nep",0 -- 0,0 -- 2,0 -- 0,0 -- 2,0 -- 4,0 -- 4,0 -- 2,0 -- 2,2 -- 0,5 -- 5,--,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,6 -- 0,2 -- 0,
"12","MrtheTaste",0 -- 0,0 -- 2,1 -- 9,3 -- 5,1 -- 2,0 -- 4,0 -- 0,0 -- 4,3 -- 2,0 -- 0,0 -- 0,--,0 -- 6,0 -- 2,2 -- 0,0 -- 0,6 -- 1,2 -- 0,
"13","YTS | MJS",0 -- 2,0 -- 4,0 -- 2,0 -- 2,1 -- 4,1 -- 2,0 -- 4,0 -- 0,0 -- 2,1 -- 2,0 -- 0,6 -- 0,--,0 -- 0,5 -- 2,0 -- 0,2 -- 0,6 -- 0,
"14","majormoistme",1 -- 4,0 -- 0,0 -- 0,0 -- 0,0 -- 2,0 -- 4,0 -- 2,1 -- 2,0 -- 4,3 -- 3,0 -- 0,2 -- 0,0 -- 0,--,2 -- 1,2 -- 1,0 -- 0,4 -- 0,
"15","Absolutelynothing",0 -- 4,0 -- 2,0 -- 0,0 -- 2,0 -- 2,0 -- 4,0 -- 2,1 -- 4,0 -- 0,0 -- 0,0 -- 0,0 -- 2,2 -- 5,1 -- 2,--,2 -- 1,2 -- 0,0 -- 0,
"16","YTS | AX",0 -- 0,0 -- 0,0 -- 2,0 -- 4,0 -- 0,0 -- 2,0 -- 2,0 -- 2,0 -- 2,0 -- 0,0 -- 0,0 -- 0,0 -- 0,1 -- 2,1 -- 2,--,0 -- 2,4 -- 0,
"17","RetroLad64",0 -- 0,0 -- 0,0 -- 0,0 -- 2,0 -- 4,0 -- 0,0 -- 2,0 -- 4,0 -- 0,0 -- 2,0 -- 6,1 -- 6,0 -- 2,0 -- 0,0 -- 2,2 -- 0,--,0 -- 0,
"18","YTS | MobMarMini",0 -- 2,0 -- 0,0 -- 0,0 -- 0,0 -- 4,0 -- 0,0 -- 4,0 -- 0,-1 -- 5,0 -- 2,0 -- 2,0 -- 2,0 -- 6,0 -- 4,0 -- 0,0 -- 4,0 -- 0,--,
